candidato,meses_confirmacao,quantidade_mudancas_regime_treino,peso_cdi_expansao_desinflacionaria,peso_cdi_expansao_inflacionaria,peso_cdi_estagflacao,peso_cdi_recessao_desinflacionaria,peso_cdi_medio,peso_cdi_maximo,excesso_retorno_anualizado_vs_benchmark,quantidade_meses,retorno_total_bruto,retorno_total_liquido,retorno_anualizado_liquido,volatilidade_anualizada_liquida,retorno_volatilidade_liquido,maximo_drawdown_liquido,meses_positivos,melhor_mes,pior_mes,turnover_total,turnover_medio_mensal,custo_acumulado_simples,indice_final_liquido,quantidade_janelas_12m,proporcao_janelas_12m_positivas,media_excesso_12m,mediana_excesso_12m,pior_excesso_12m,melhor_excesso_12m,respeita_limite_turnover
conf_2m_cdi_30_50_40_40,2,8,0.3,0.5,0.4,0.4,0.4,0.5,-0.012228412553642043,48,0.2887864546750558,0.28514619851917344,0.06472667311558755,0.05180597543987235,1.2494055476421126,-0.06031351816032082,0.7083333333333334,0.03153747705339782,-0.04352260520278617,2.8279548941206443,0.05891572696084676,0.002827954894120645,128.51461985191733,37,0.5675675675675675,-0.014315900679566163,0.008230168112598468,-0.14175759098533613,0.04633963670309149,False
conf_2m_cdi_30_50_40_50,2,8,0.3,0.5,0.4,0.5,0.42500000000000004,0.5,-0.015720106542836954,48,0.2717444932838984,0.2683707696946893,0.06123497912639264,0.05041904900142331,1.2145207087238794,-0.06031351816032082,0.7083333333333334,0.02654646248898973,-0.04352260520278617,2.655762934776022,0.05532839447450046,0.002655762934776022,126.83707696946894,37,0.5675675675675675,-0.017802594089076074,0.008230168112598468,-0.1574560365639004,0.04633963670309149,False
conf_2m_cdi_30_50_50_00,2,8,0.3,0.5,0.5,0.0,0.325,0.5,0.003099075951141339,48,0.36549566025852087,0.360761892702844,0.08005416162037093,0.059124566914619286,1.3539915097555928,-0.06031351816032082,0.7083333333333334,0.051505551784493786,-0.04352260520278617,3.471894853329677,0.0723311427777016,0.0034718948533296766,136.0761892702844,37,0.6216216216216216,0.0016895430702407836,0.0113097147298169,-0.07774576638373532,0.04633963670309149,False
conf_2m_cdi_30_50_50_10,2,8,0.3,0.5,0.5,0.1,0.35000000000000003,0.5,-0.0003737841154178856,48,0.3477409458495717,0.3433442794918111,0.07658130155381171,0.056939483341968036,1.3449595440457114,-0.06031351816032082,0.7083333333333334,0.046512900945293145,-0.04352260520278617,3.2668398056684502,0.06805916261809271,0.0032668398056684505,134.3344279491811,37,0.6216216216216216,-0.0018969746485193722,0.0113097147298169,-0.09395877723683599,0.04633963670309149,False
conf_2m_cdi_30_50_50_20,2,8,0.3,0.5,0.5,0.2,0.375,0.5,-0.0038501157446453327,48,0.33014359057559695,0.32607725167210555,0.07310496992458426,0.054924680163761175,1.331004016893999,-0.06031351816032082,0.7083333333333334,0.04152069542759018,-0.04352260520278617,3.0610775421602217,0.06377244879500461,0.003061077542160222,132.60772516721056,37,0.6216216216216216,-0.0054560641007334884,0.0113097147298169,-0.11003161718624699,0.04633963670309149,False
conf_2m_cdi_30_50_50_30,2,8,0.3,0.5,0.5,0.3,0.4,0.5,-0.00732980962514973,48,0.31270286543624626,0.30896076252599136,0.06962527604407986,0.0530995190974298,1.311222346784869,-0.06031351816032082,0.7083333333333334,0.03652893371422139,-0.04352260520278617,2.8541334533738247,0.059461113611954684,0.002854133453373825,130.89607625259913,37,0.6216216216216216,-0.00898770859092391,0.0113097147298169,-0.12596432971870564,0.04633963670309149,False
conf_2m_cdi_30_50_50_40,2,8,0.3,0.5,0.5,0.4,0.42500000000000004,0.5,-0.010812891849394823,48,0.29541804124633875,0.29199408566532936,0.06614219381983477,0.051484172676301614,1.2847092685298274,-0.06031351816032082,0.7083333333333334,0.03153747705339782,-0.04352260520278617,2.646033941760213,0.05512570712000444,0.0026460339417602127,129.19940856653292,37,0.6216216216216216,-0.012492017217411609,0.0113097147298169,-0.14175759098533613,0.04633963670309149,False
conf_2m_cdi_30_50_50_50,2,8,0.3,0.5,0.5,0.5,0.45,0.5,-0.014309227936190272,48,0.2782883886462151,0.2751292691559657,0.06264585773303932,0.05009589003080298,1.250518908727235,-0.06031351816032082,0.7083333333333334,0.02654646248898973,-0.04352260520278617,2.47384198241559,0.051538374633658124,0.0024738419824155908,127.51292691559657,37,0.6216216216216216,-0.015979886599598137,0.0113097147298169,-0.1574560365639004,0.04633963670309149,False
conf_2m_cdi_40_00_00_00,2,8,0.4,0.0,0.0,0.0,0.1,0.4,0.0330614303455925,48,0.5234871617042498,0.5181607632720322,0.1100165160148221,0.06988210602967729,1.574315976798133,-0.05054347489023059,0.625,0.051505551784493786,-0.036822499549372445,3.5014785434738487,0.07294746965570519,0.0035014785434738485,151.81607632720323,37,0.9459459459459459,0.028795564311649903,0.02582637326642989,-0.0004758017213277732,0.06674275447724698,False
conf_2m_cdi_40_00_00_10,2,8,0.4,0.0,0.0,0.1,0.125,0.4,0.0293951919459865,48,0.5036781793332328,0.4982027733552554,0.1063502776152161,0.06812238999443408,1.5611648038758683,-0.05054347489023059,0.625,0.04940555101623412,-0.036822499549372445,3.647141874166474,0.0759821223784682,0.003647141874166475,149.82027733552553,37,0.9459459459459459,0.024840303306251428,0.017671206095271952,-0.0004758017213277732,0.05591928052540551,False
conf_2m_cdi_40_00_00_20,2,8,0.4,0.0,0.0,0.2,0.15000000000000002,0.4,0.025715132099104254,48,0.484044762970143,0.4783680874771321,0.10267021776833385,0.06652888115831603,1.5432428139594558,-0.05054347489023059,0.625,0.04940555101623412,-0.036822499549372445,3.8315978878292047,0.07982495599644177,0.003831597887829205,147.8368087477132,37,0.7567567567567568,0.020903526480278233,0.017671206095271952,-0.011256925131435835,0.05591928052540551,False
conf_2m_cdi_40_00_00_30,2,8,0.4,0.0,0.0,0.3,0.175,0.4,0.022029987342853108,48,0.46458609926733585,0.45870400247489895,0.0989850730120827,0.06511762325080121,1.5200965279528194,-0.05054347489023059,0.625,0.04940555101623412,-0.036822499549372445,4.023380743357471,0.08382043215328065,0.004023380743357472,145.8704002474899,37,0.7567567567567568,0.016995640346259187,0.016720517479704267,-0.027986699839462892,0.05591928052540551,False
conf_2m_cdi_40_00_00_40,2,8,0.4,0.0,0.0,0.4,0.2,0.4,0.018341947250912982,48,0.4453013746709542,0.4392215220184408,0.09529703292014258,0.06390168298429932,1.4913070903556187,-0.05054347489023059,0.625,0.04940555101623412,-0.036822499549372445,4.214512754694658,0.0878023490561387,0.0042145127546946584,143.92215220184409,37,0.7027027027027027,0.013119712061246909,0.015209396542711584,-0.04456196936016954,0.05591928052540551,False
conf_2m_cdi_40_00_00_50,2,8,0.4,0.0,0.0,0.5,0.225,0.5,0.0146510617160176,48,0.4261897754324764,0.4199200475571214,0.0916061473852472,0.06289233357658101,1.456555070797345,-0.05054347489023059,0.625,0.04940555101623412,-0.036822499549372445,4.4047473710757465,0.09176557023074472,0.004404747371075747,141.99200475571214,37,0.6486486486486487,0.009275641840657992,0.015209396542711584,-0.060983242927382,0.05591928052540551,False
conf_2m_cdi_40_00_10_00,2,8,0.4,0.0,0.1,0.0,0.125,0.4,0.03445710323037976,48,0.5313946042190287,0.5258105786719389,0.11141218889960935,0.06943018880354528,1.6046649277427916,-0.05054347489023059,0.625,0.051505551784493786,-0.036822499549372445,3.6521849465300003,0.07608718638604167,0.0036521849465300004,152.5810578671939,37,1.0,0.030542326204189573,0.02634532661540867,0.004827963257650225,0.06674275447724698,False
conf_2m_cdi_40_00_10_10,2,8,0.4,0.0,0.1,0.1,0.15,0.4,0.030786255106999727,48,0.5114828061543117,0.5057520230296408,0.10774134077622932,0.06766408862430115,1.592297228363683,-0.05054347489023059,0.625,0.04940555101623412,-0.036822499549372445,3.7978482772226263,0.07912183910880471,0.0037978482772226267,150.57520230296407,37,1.0,0.026585859771230614,0.02032119182772818,0.004827963257650225,0.05591928052540551,False
