origem,arquivo,caminho,extensao,modificacao_utc,tamanho_bytes,status_atualizacao
tabelas,02_diagnostico_imab11_ultimos_registros.csv,outputs/tabelas/02_diagnostico_imab11_ultimos_registros.csv,.csv,2026-08-04 23:57:32.667329+00:00,1648,Mesma execução provável
tabelas,02_segmento_commodities_correlacao.csv,outputs/tabelas/02_segmento_commodities_correlacao.csv,.csv,2026-08-04 23:57:32.137538+00:00,176,Mesma execução provável
tabelas,02_segmento_commodities_desempenho.csv,outputs/tabelas/02_segmento_commodities_desempenho.csv,.csv,2026-08-04 23:57:32.058625+00:00,700,Mesma execução provável
tabelas,02_segmento_commodities_drawdown.csv,outputs/tabelas/02_segmento_commodities_drawdown.csv,.csv,2026-08-04 23:57:32.119915+00:00,634,Mesma execução provável
tabelas,02_segmento_commodities_pares_correlacao.csv,outputs/tabelas/02_segmento_commodities_pares_correlacao.csv,.csv,2026-08-04 23:57:32.158184+00:00,242,Mesma execução provável
tabelas,02_segmento_commodities_precos_normalizados.csv,outputs/tabelas/02_segmento_commodities_precos_normalizados.csv,.csv,2026-08-04 23:57:32.075108+00:00,465,Mesma execução provável
tabelas,02_segmento_commodities_resumo_correlacao.csv,outputs/tabelas/02_segmento_commodities_resumo_correlacao.csv,.csv,2026-08-04 23:57:32.171079+00:00,242,Mesma execução provável
tabelas,02_segmento_commodities_retorno_acumulado.csv,outputs/tabelas/02_segmento_commodities_retorno_acumulado.csv,.csv,2026-08-04 23:57:32.089422+00:00,254,Mesma execução provável
tabelas,02_segmento_commodities_volatilidade_movel.csv,outputs/tabelas/02_segmento_commodities_volatilidade_movel.csv,.csv,2026-08-04 23:57:32.105267+00:00,560,Mesma execução provável
tabelas,02_segmento_moedas_correlacao.csv,outputs/tabelas/02_segmento_moedas_correlacao.csv,.csv,2026-08-04 23:57:32.412999+00:00,194,Mesma execução provável
tabelas,02_segmento_moedas_desempenho.csv,outputs/tabelas/02_segmento_moedas_desempenho.csv,.csv,2026-08-04 23:57:32.331603+00:00,720,Mesma execução provável
tabelas,02_segmento_moedas_drawdown.csv,outputs/tabelas/02_segmento_moedas_drawdown.csv,.csv,2026-08-04 23:57:32.396185+00:00,647,Mesma execução provável
tabelas,02_segmento_moedas_pares_correlacao.csv,outputs/tabelas/02_segmento_moedas_pares_correlacao.csv,.csv,2026-08-04 23:57:32.431878+00:00,260,Mesma execução provável
tabelas,02_segmento_moedas_precos_normalizados.csv,outputs/tabelas/02_segmento_moedas_precos_normalizados.csv,.csv,2026-08-04 23:57:32.347610+00:00,456,Mesma execução provável
tabelas,02_segmento_moedas_resumo_correlacao.csv,outputs/tabelas/02_segmento_moedas_resumo_correlacao.csv,.csv,2026-08-04 23:57:32.447943+00:00,235,Mesma execução provável
tabelas,02_segmento_moedas_retorno_acumulado.csv,outputs/tabelas/02_segmento_moedas_retorno_acumulado.csv,.csv,2026-08-04 23:57:32.364389+00:00,269,Mesma execução provável
tabelas,02_segmento_moedas_volatilidade_movel.csv,outputs/tabelas/02_segmento_moedas_volatilidade_movel.csv,.csv,2026-08-04 23:57:32.380033+00:00,575,Mesma execução provável
tabelas,02_segmento_renda_fixa_correlacao.csv,outputs/tabelas/02_segmento_renda_fixa_correlacao.csv,.csv,2026-08-04 23:57:32.561888+00:00,204,Mesma execução provável
tabelas,02_segmento_renda_fixa_desempenho.csv,outputs/tabelas/02_segmento_renda_fixa_desempenho.csv,.csv,2026-08-04 23:57:32.466597+00:00,716,Mesma execução provável
tabelas,02_segmento_renda_fixa_drawdown.csv,outputs/tabelas/02_segmento_renda_fixa_drawdown.csv,.csv,2026-08-04 23:57:32.539431+00:00,650,Mesma execução provável
tabelas,02_segmento_renda_fixa_pares_correlacao.csv,outputs/tabelas/02_segmento_renda_fixa_pares_correlacao.csv,.csv,2026-08-04 23:57:32.590176+00:00,270,Mesma execução provável
tabelas,02_segmento_renda_fixa_precos_normalizados.csv,outputs/tabelas/02_segmento_renda_fixa_precos_normalizados.csv,.csv,2026-08-04 23:57:32.481982+00:00,482,Mesma execução provável
tabelas,02_segmento_renda_fixa_resumo_correlacao.csv,outputs/tabelas/02_segmento_renda_fixa_resumo_correlacao.csv,.csv,2026-08-04 23:57:32.612509+00:00,237,Mesma execução provável
tabelas,02_segmento_renda_fixa_retorno_acumulado.csv,outputs/tabelas/02_segmento_renda_fixa_retorno_acumulado.csv,.csv,2026-08-04 23:57:32.498082+00:00,268,Mesma execução provável
tabelas,02_segmento_renda_fixa_volatilidade_movel.csv,outputs/tabelas/02_segmento_renda_fixa_volatilidade_movel.csv,.csv,2026-08-04 23:57:32.514817+00:00,518,Mesma execução provável
tabelas,02_segmento_renda_variavel_correlacao.csv,outputs/tabelas/02_segmento_renda_variavel_correlacao.csv,.csv,2026-08-04 23:57:32.277279+00:00,200,Mesma execução provável
tabelas,02_segmento_renda_variavel_desempenho.csv,outputs/tabelas/02_segmento_renda_variavel_desempenho.csv,.csv,2026-08-04 23:57:32.189638+00:00,714,Mesma execução provável
tabelas,02_segmento_renda_variavel_drawdown.csv,outputs/tabelas/02_segmento_renda_variavel_drawdown.csv,.csv,2026-08-04 23:57:32.260517+00:00,651,Mesma execução provável
tabelas,02_segmento_renda_variavel_pares_correlacao.csv,outputs/tabelas/02_segmento_renda_variavel_pares_correlacao.csv,.csv,2026-08-04 23:57:32.298255+00:00,266,Mesma execução provável
tabelas,02_segmento_renda_variavel_precos_normalizados.csv,outputs/tabelas/02_segmento_renda_variavel_precos_normalizados.csv,.csv,2026-08-04 23:57:32.206121+00:00,484,Mesma execução provável
tabelas,02_segmento_renda_variavel_resumo_correlacao.csv,outputs/tabelas/02_segmento_renda_variavel_resumo_correlacao.csv,.csv,2026-08-04 23:57:32.312288+00:00,235,Mesma execução provável
tabelas,02_segmento_renda_variavel_retorno_acumulado.csv,outputs/tabelas/02_segmento_renda_variavel_retorno_acumulado.csv,.csv,2026-08-04 23:57:32.225314+00:00,266,Mesma execução provável
tabelas,02_segmento_renda_variavel_volatilidade_movel.csv,outputs/tabelas/02_segmento_renda_variavel_volatilidade_movel.csv,.csv,2026-08-04 23:57:32.240066+00:00,582,Mesma execução provável
tabelas,03_validacoes_regimes_macroeconomicos.csv,outputs/tabelas/03_validacoes_regimes_macroeconomicos.csv,.csv,2026-08-04 23:58:09.826145+00:00,708,Mesma execução provável
tabelas,04_ativos_aprovados_utilizados.csv,outputs/tabelas/04_ativos_aprovados_utilizados.csv,.csv,2026-08-05 00:06:12.330203+00:00,2657,Mesma execução provável
tabelas,04_metricas_portfolio.csv,outputs/tabelas/04_metricas_portfolio.csv,.csv,2026-08-05 00:06:12.295116+00:00,545,Mesma execução provável
tabelas,04_pesos_por_regime.csv,outputs/tabelas/04_pesos_por_regime.csv,.csv,2026-08-05 00:06:12.312660+00:00,1257,Mesma execução provável
tabelas,04_validacoes_alocacao.csv,outputs/tabelas/04_validacoes_alocacao.csv,.csv,2026-08-05 00:06:12.348537+00:00,647,Mesma execução provável
tabelas,05_configuracoes_backtest.csv,outputs/tabelas/05_configuracoes_backtest.csv,.csv,2026-08-05 00:06:53.494889+00:00,662,Atual ou posterior às bases centrais
tabelas,05_contribuicao_media_por_regime.csv,outputs/tabelas/05_contribuicao_media_por_regime.csv,.csv,2026-08-05 00:06:53.377120+00:00,1958,Atual ou posterior às bases centrais
